,CP,LS,IS,RS,N,CJ0,M,VJ,EG,IBV,BV,XTI,RL,CL
0,9.47485815300495e-14,1.7358588154852113e-08,5.9097712160462024e-05,26.11717872597151,1.05,1.2973578619657472e-13,0.48947517013718833,0.581114547607543,0.69,0.0001,2.0,2.0,24821.25550072125,5.87328600919374e-11
1,2.0557670471981122e-13,1.1704002178486992e-08,6.113535580851402e-05,11.973238750155318,1.05,1.743050196033602e-13,0.3501642317736553,0.4011010640825574,0.69,0.0001,2.0,2.0,29583.0912798066,8.105424095717312e-11
2,1.3258425776710615e-13,5.305187100027513e-09,7.554792969275968e-05,21.424213394273742,1.05,1.5924779553637024e-13,0.3404817796539062,0.4658424382408988,0.69,0.0001,2.0,2.0,19487.579529796236,9.442329716295996e-11
3,1.1659971177098147e-13,1.2119460993294822e-08,3.642601074910947e-05,18.9604263263579,1.05,1.9679998290876332e-13,0.4524135629393061,0.4908441567876039,0.69,0.0001,2.0,2.0,42511.135147054796,2.5897175362347385e-11
4,5.236151285994393e-14,6.578076823409642e-09,1.3556447390466186e-05,24.25410206526103,1.05,1.4659289051951368e-13,0.3999889445306382,0.3821399214100423,0.69,0.0001,2.0,2.0,24770.67214335063,4.198577552981029e-11
5,1.4911869163042031e-13,2.7804121935197097e-09,7.664769600347599e-05,9.786150819254045,1.05,1.1146690889474673e-13,0.3624792113376946,0.6220434668687472,0.69,0.0001,2.0,2.0,2645.013598066296,6.919253879356327e-11
6,1.8652718501543515e-13,1.860974623757344e-08,7.184143457784628e-05,7.516067574713244,1.05,1.2758341976660364e-13,0.4891761164989815,0.47774477220615685,0.69,0.0001,2.0,2.0,15990.834630931908,6.57734320624586e-11
7,1.3118834462047155e-13,1.1108780959387627e-08,8.487785706246574e-05,8.27656207237178,1.05,1.4281131299445168e-13,0.4382827510868523,0.46385558747367817,0.69,0.0001,2.0,2.0,45278.77161012525,1.8729201860916867e-11
8,1.8957488042982473e-13,7.457243080054655e-09,4.491834283552148e-05,22.328103219645776,1.05,1.2047734514142388e-13,0.49194137858588494,0.46520858333855,0.69,0.0001,2.0,2.0,26543.636526209775,1.5648825254955792e-11
9,1.0793925182997979e-13,1.9874413655331133e-08,7.051838121849047e-05,24.261310393768905,1.05,1.3266548260216774e-13,0.4634890611658703,0.39719229112336496,0.69,0.0001,2.0,2.0,3802.3316968461095,9.662535674068135e-11
10,1.3221596046633772e-13,5.834194196880313e-09,3.4576191964466345e-05,8.521808503188423,1.05,1.7545193388110373e-13,0.40821302208699967,0.5533113220494346,0.69,0.0001,2.0,2.0,44290.02220046908,8.224093383490158e-11
11,1.4138410679216706e-13,1.59369882443329e-08,7.991975855132335e-06,22.01408162889785,1.05,1.6449600654716304e-13,0.4028294295782731,0.3430272408863389,0.69,0.0001,2.0,2.0,16855.427762978434,8.845466521516132e-11
12,6.875497205204922e-14,8.292333493144333e-09,6.925834837649552e-05,24.844692206556083,1.05,1.8553127866947525e-13,0.49478770641555136,0.3738002254331777,0.69,0.0001,2.0,2.0,46044.58821342338,9.177915469028446e-12
13,2.3380216147649804e-13,7.736725566864328e-09,5.2496551282490185e-05,7.061560098633217,1.05,1.5702465955736372e-13,0.3944760467892364,0.5730956000617581,0.69,0.0001,2.0,2.0,14702.993162607761,9.914413108308579e-11
14,5.599987081453126e-14,4.5058050750015405e-09,8.427480214311982e-05,13.349390917195265,1.05,1.4258990180205873e-13,0.4513022354307593,0.5574845547499718,0.69,0.0001,2.0,2.0,36324.361659889786,4.051573909945817e-11
15,9.364468583673458e-14,1.6968009307178817e-08,4.988343813352829e-05,20.301153810174178,1.05,1.1601774784503005e-13,0.4022292174154874,0.6267363514276136,0.69,0.0001,2.0,2.0,8346.71687967554,2.86047226328076e-11
16,9.665615490815542e-14,6.063306204976119e-09,1.06027012458275e-06,26.047992446783606,1.05,1.2606912750499349e-13,0.4691500732833343,0.5061792278383772,0.69,0.0001,2.0,2.0,16199.99797315281,5.703278927638113e-12
17,2.491511953351741e-13,6.207936860576797e-09,1.0779140450995709e-05,10.874482406170817,1.05,1.2952457916381587e-13,0.47179946329313543,0.42942704615471555,0.69,0.0001,2.0,2.0,7552.002656685327,9.466233309554808e-12
18,2.2120914001246022e-13,2.509242920181197e-09,5.212314141096967e-05,9.95818364294219,1.05,1.188694396646901e-13,0.46064983526763337,0.4828600754139675,0.69,0.0001,2.0,2.0,15602.622782452474,1.0989797172683594e-11
19,1.9815139347051081e-13,5.059435139403039e-09,4.8664451620717996e-05,23.8042726563266,1.05,1.6306119766545917e-13,0.31925521023756004,0.5600498793828523,0.69,0.0001,2.0,2.0,26672.947196020243,8.622701391951728e-11
20,1.8079659612569998e-13,1.4782950922407828e-08,3.117501149616779e-05,21.360196312105362,1.05,1.8268666108492174e-13,0.48010023898042614,0.5233898939510493,0.69,0.0001,2.0,2.0,49884.322901219384,2.3855798949905303e-11
21,1.7335521293821478e-13,5.7491259451694815e-09,9.087121502340624e-05,27.84033740134809,1.05,1.3533544779511444e-13,0.38203466871915437,0.4770797309237299,0.69,0.0001,2.0,2.0,22304.2331504946,5.63621267092272e-12
22,2.2272751100505212e-13,1.4027962010597682e-08,2.3342936079880257e-05,27.410048594128774,1.05,1.1773535187153504e-13,0.36898053033205835,0.3762204008840118,0.69,0.0001,2.0,2.0,21028.29132379997,3.679486989065606e-12
23,7.622491715791e-14,1.6092744770367085e-09,5.801526869700362e-05,8.207061910245404,1.05,1.6275814101111752e-13,0.322877226516008,0.36579820501236504,0.69,0.0001,2.0,2.0,31988.04670104027,2.6414487389820636e-11
24,2.134137671897711e-13,4.538724271599299e-09,1.900174054854518e-05,17.927208519481773,1.05,1.9456572680907308e-13,0.4682505443240299,0.5807963733081476,0.69,0.0001,2.0,2.0,28026.7635308948,6.721090649765456e-11
25,2.382985623950816e-13,3.6230736091061653e-09,9.890640166488549e-05,22.327156399328487,1.05,1.812586858167673e-13,0.32152048715058573,0.5321860786257967,0.69,0.0001,2.0,2.0,47533.667088969276,9.821055110501754e-11
26,2.365626239524034e-13,1.5066884246779973e-08,4.5701905581020675e-05,7.600018735365972,1.05,1.4458431009514346e-13,0.4811945297453794,0.40224186967784153,0.69,0.0001,2.0,2.0,5922.756525134847,4.7256122162852e-11
27,2.0700272205104375e-13,7.160091325984501e-09,1.1111294257375887e-05,23.352470844272727,1.05,1.1400320633936146e-13,0.49201819766633675,0.49973240823761267,0.69,0.0001,2.0,2.0,9027.452638023266,3.964326472573223e-11
28,1.941951770118363e-13,1.698043601628352e-08,3.9023737854797466e-05,19.73456103401445,1.05,1.2697806216261323e-13,0.36310821290631606,0.5931952323372427,0.69,0.0001,2.0,2.0,29853.49471508334,3.0003184118399857e-11
29,6.11429627920556e-14,4.5887503128913075e-09,8.698166290828545e-05,21.066436728905458,1.05,1.1922375103043815e-13,0.31720176510722425,0.4148689508671018,0.69,0.0001,2.0,2.0,22396.611732846508,2.4154794193645292e-11
30,1.016977244807623e-13,1.186896191754174e-08,5.158033389764854e-06,22.280932760526717,1.05,1.2320954194629521e-13,0.360591945842137,0.49548796865807854,0.69,0.0001,2.0,2.0,4962.954957100292,4.08112062684855e-11
31,5.2100065663153864e-14,1.417872532360766e-08,4.229141370522374e-05,28.255171572878318,1.05,1.7933732105831726e-13,0.3924721335810237,0.61014611408441,0.69,0.0001,2.0,2.0,17034.62926079144,1.8019994240403433e-12
32,1.0856655315775279e-13,2.5566200233148125e-09,4.4100596586549084e-05,21.736873498189826,1.05,1.9017295228187594e-13,0.42968579981057675,0.46277874607659875,0.69,0.0001,2.0,2.0,12932.495345613459,1.1408526013948772e-11
33,5.0083472290642276e-14,9.581366056691248e-09,2.1186815463089615e-05,28.909515876764242,1.05,1.9230317883420425e-13,0.35780614052988163,0.37165499537264796,0.69,0.0001,2.0,2.0,22291.96652238279,4.715671641514705e-11
34,7.168097361210598e-14,1.0196075152091146e-08,7.549521525961445e-06,15.196460754102382,1.05,1.1053318962271392e-13,0.39816280787807523,0.5692924495755003,0.69,0.0001,2.0,2.0,32850.902260875904,7.648865873379595e-11
35,1.3937067220361267e-13,1.9299565314481672e-08,6.383901931907945e-05,16.07025991588534,1.05,1.897530471199457e-13,0.33984064109643475,0.5994677520060725,0.69,0.0001,2.0,2.0,42228.91588653391,1.0378578548678347e-11
36,5.9942832064547e-14,8.250917888330813e-09,3.574904841126673e-05,9.755999955629347,1.05,1.435378023287706e-13,0.3752962263428571,0.5849477448848541,0.69,0.0001,2.0,2.0,1182.127226748585,2.938856431146544e-11
37,1.8400713658718388e-13,6.7533943141345795e-09,2.5359463253724026e-05,17.25577826209272,1.05,1.1745839224161166e-13,0.3998109784374658,0.3508712127588764,0.69,0.0001,2.0,2.0,13218.367302536864,1.944788096012913e-11
38,5.656232995202215e-14,9.379630550050543e-09,2.2363710989600035e-05,8.534752009126818,1.05,1.074641800861447e-13,0.44909949237012786,0.5635797070019688,0.69,0.0001,2.0,2.0,9687.695552275445,4.683829582678997e-11
39,2.412808383907073e-13,8.745050827951764e-09,5.3999242504201815e-05,11.889318389379174,1.05,1.8167912151017461e-13,0.4180007125930625,0.3899729545706723,0.69,0.0001,2.0,2.0,8923.813294079899,5.490182462875124e-11
40,7.002311996699287e-14,6.7062729723239445e-09,2.022466048680999e-05,13.323218080193694,1.05,1.3428096424585347e-13,0.32518607908906727,0.40569280477170955,0.69,0.0001,2.0,2.0,49384.005267735476,5.6208799406928876e-11
41,9.598951669969538e-14,1.9490033779187006e-08,7.274830583465574e-05,29.679499032777315,1.05,1.6898015783399813e-13,0.36461858884978615,0.6038209626871688,0.69,0.0001,2.0,2.0,20541.961696573275,3.0012743244745445e-11
42,1.4636311335844525e-13,7.205261948593728e-09,3.7949841604589606e-05,22.904258200874974,1.05,1.2489698912637e-13,0.4769539193293797,0.5010205380356726,0.69,0.0001,2.0,2.0,23858.388768467237,2.766771780602196e-11
43,2.2590438798101667e-13,1.819934554475255e-08,2.3119626142397564e-05,17.742492190856794,1.05,1.472332351221146e-13,0.37430290525772403,0.47794344114909393,0.69,0.0001,2.0,2.0,23680.832105380705,5.44050345702354e-11
44,9.935734316248284e-14,6.926866251739756e-09,5.2249370907718466e-05,25.471162913188554,1.05,1.341254071449473e-13,0.47917622295493933,0.62941521614823,0.69,0.0001,2.0,2.0,36397.188290214144,4.5100895412060246e-11
45,1.369197496847585e-13,1.6318475212039346e-08,5.766154014272166e-05,15.905863872652855,1.05,1.3224974766214285e-13,0.47409226476552746,0.5720409551791711,0.69,0.0001,2.0,2.0,42445.14169762133,1.9958768123497672e-11
46,2.1655374280356382e-13,1.2219331574243639e-08,1.7290176008173523e-05,19.92342492957895,1.05,1.5247760240800506e-13,0.4751683280889408,0.5054787266798512,0.69,0.0001,2.0,2.0,150.4066026126975,1.9279579777086648e-11
47,1.4958913537227023e-13,1.816621509770018e-08,1.2112156117986674e-05,17.284624210090428,1.05,1.8385180439585527e-13,0.345309900660246,0.48344606897535697,0.69,0.0001,2.0,2.0,37719.728241181874,5.39652995857695e-11
48,1.7966561943650273e-13,6.959773471293853e-09,2.183250407535228e-05,15.35116932432549,1.05,1.7279368346246759e-13,0.3519159641554557,0.3998616599185766,0.69,0.0001,2.0,2.0,1581.1180870727374,9.036976503377171e-11
49,1.286880278680659e-13,1.6138973436111504e-08,6.550210055454247e-05,8.864071530986312,1.05,1.3374790460013757e-13,0.4386791253585023,0.41404673689201366,0.69,0.0001,2.0,2.0,8744.806697894224,4.176266632591875e-11
50,1.0499725606825547e-13,1.1469911775665056e-08,7.857217223858683e-05,16.471758025653465,1.05,1.2303557726774712e-13,0.32588953354799877,0.32009485424664474,0.69,0.0001,2.0,2.0,13734.876701285348,5.885355375771454e-11
51,2.460006083340037e-13,8.492451427447839e-09,9.076214231848477e-05,22.860244330350202,1.05,1.2909815799628212e-13,0.47115195680933764,0.5949808648978494,0.69,0.0001,2.0,2.0,16416.526997551333,1.6510659239822648e-11
52,9.975633286519863e-14,1.7820343399538434e-08,8.695895360582418e-05,22.239073907337506,1.05,1.257562131737063e-13,0.49239619076762553,0.4893101770192631,0.69,0.0001,2.0,2.0,34553.18787486004,1.096979881405172e-11
53,2.4428257742000995e-13,7.946330942897818e-09,5.960404253117584e-05,10.167804699458436,1.05,1.2446039140073333e-13,0.45053915819423995,0.4810778854728439,0.69,0.0001,2.0,2.0,41387.56829665242,9.738473262059995e-11
54,1.647327258204322e-13,1.6589673025311554e-09,8.401854343707947e-05,14.890839570193604,1.05,1.422724606234276e-13,0.4657243831840262,0.5533107466659466,0.69,0.0001,2.0,2.0,30928.596829189475,1.6417137037963097e-11
55,1.7382623297469114e-13,7.1286813294335585e-09,5.727112957069145e-05,9.158116494162575,1.05,1.8943946603907614e-13,0.426594469770766,0.38452557018627914,0.69,0.0001,2.0,2.0,19512.89079860987,2.5970711425240562e-11
56,1.6323233958492172e-13,1.8859710432690805e-08,7.650257011440768e-05,21.375029399121775,1.05,1.268148356820693e-13,0.3358072185789437,0.3091862471031461,0.69,0.0001,2.0,2.0,10002.919797140155,8.272704180511826e-11
57,1.4597491971114158e-13,1.7547247681669998e-08,9.044554376702355e-05,9.044866996335287,1.05,1.728066428299748e-13,0.38163083384646,0.4497492313178354,0.69,0.0001,2.0,2.0,1639.3374740111096,4.6190992547713224e-11
58,1.4791297760359185e-13,1.688821516833411e-08,4.0052986742541024e-05,8.422563233824686,1.05,1.8755858571857482e-13,0.33592302230376375,0.4972194849130357,0.69,0.0001,2.0,2.0,20066.412345838846,2.5923950564713763e-11
59,5.3619833336815663e-14,1.657991461824986e-09,7.264574670466489e-06,27.336733871968345,1.05,1.371463326764004e-13,0.35342773208833417,0.6332735384267056,0.69,0.0001,2.0,2.0,22896.72618655624,3.290404327731317e-12
60,7.506088403339815e-14,1.8310992875661567e-08,5.4911788398025924e-05,6.741342647231598,1.05,1.373028017083687e-13,0.4103868093577286,0.5864505899494025,0.69,0.0001,2.0,2.0,19815.12781299508,9.82175906121855e-11
61,1.6299761570485176e-13,5.798239988716318e-09,1.2544668811186728e-05,17.276864835536692,1.05,1.886009034764894e-13,0.45045209209987747,0.6034405102032427,0.69,0.0001,2.0,2.0,40631.97036561727,3.033211049524935e-11
62,1.6706541819168186e-13,1.584057614235049e-08,8.983710939266943e-06,24.709602139736457,1.05,1.0219173407866245e-13,0.39044404870139954,0.4742256174385766,0.69,0.0001,2.0,2.0,40082.88635481757,7.477818091141596e-11
63,6.233748046208192e-14,8.507591885777245e-10,6.891811109470378e-05,22.90850606099829,1.05,1.7386545864854254e-13,0.3385580000192648,0.4826817094148519,0.69,0.0001,2.0,2.0,31609.123539745036,2.6958228102424135e-11
64,6.996521842975001e-14,1.2577341579774695e-08,4.476455982936573e-05,7.143170331238661,1.05,1.1258699549118996e-13,0.3370987476261591,0.4035336972411552,0.69,0.0001,2.0,2.0,36372.01449896661,2.8821851342615692e-11
65,2.0067288612867454e-13,1.1604377196731307e-08,9.942665143640122e-05,7.765940791639673,1.05,1.349273959976834e-13,0.4707627825727307,0.4361216142374103,0.69,0.0001,2.0,2.0,7732.541740234793,9.609743543011862e-11
66,1.7230000918084685e-13,1.9741413184757788e-08,1.6428683947301466e-05,24.633328942237554,1.05,1.3210143535295107e-13,0.4237630643656917,0.49470034868557045,0.69,0.0001,2.0,2.0,19439.130012253143,1.5081441311102564e-12
67,1.208705975146621e-13,1.3710684052554002e-08,8.158389266838125e-05,20.567232718583703,1.05,1.942311823716831e-13,0.45512429963253875,0.611398197839818,0.69,0.0001,2.0,2.0,34077.81314767509,9.644604045763813e-11
