,CP,LS,IS,RS,N,CJ0,M,VJ,EG,IBV,BV,XTI,RL,CL
0,1.9329131519544863e-13,1.4813172701203697e-09,6.487229495328799e-05,12.211876971594256,1.05,1.0038091259308099e-13,0.3677689541953879,0.4749355962765409,0.69,0.0001,2.0,2.0,22898.267647974608,1.2627431584164154e-11
1,2.2222884140190727e-13,1.378201164919123e-08,1.1827930736721122e-05,28.070088207717514,1.05,1.193781276705543e-13,0.3200031598472575,0.38901151168434395,0.69,0.0001,2.0,2.0,44773.910553526206,4.546976594413945e-11
2,1.858253807954147e-13,1.8424693087334115e-08,2.1459458867733252e-05,5.908740327749447,1.05,1.9387386345081849e-13,0.31307245436352377,0.5568560511850279,0.69,0.0001,2.0,2.0,8656.142910197697,3.7341424819110456e-11
3,1.7684983011026482e-13,1.6614534805806058e-08,8.388556485635058e-05,9.975016704902421,1.05,1.4741407489936627e-13,0.40497066841399887,0.44573912616837374,0.69,0.0001,2.0,2.0,14340.269923602214,4.625681277699113e-11
4,1.2208469737661472e-13,3.7242149599582845e-09,9.4103842447143e-05,17.012630361678095,1.05,1.361042627547418e-13,0.45659514886204133,0.5504359617705596,0.69,0.0001,2.0,2.0,42965.47265902808,6.407557270909597e-11
5,6.073051428825598e-14,1.2574238037785007e-08,6.340329097902397e-05,18.900736425220956,1.05,1.8898416391206617e-13,0.3585095259023054,0.5645428330321676,0.69,0.0001,2.0,2.0,42478.07749088328,8.934251089532617e-11
6,2.256787972086071e-13,3.3563999384801692e-09,3.145269515342869e-05,9.504620188901214,1.05,1.7749966156872823e-13,0.3547889698554027,0.6197080666539567,0.69,0.0001,2.0,2.0,2606.9075970895506,2.6231496836246768e-11
7,2.442313592869562e-13,3.0383189727369385e-09,2.6629603335785332e-05,6.897305929168572,1.05,1.8169243297986508e-13,0.3713999448049377,0.4649821572700408,0.69,0.0001,2.0,2.0,12665.402792482384,9.527494375399846e-11
8,1.320847206217222e-13,1.2936619656979504e-08,1.3243800301656805e-05,11.922434208457432,1.05,1.6457495690622328e-13,0.3097946407261068,0.3664568571728895,0.69,0.0001,2.0,2.0,48934.84117528187,2.2258715978328923e-11
9,1.203762950745624e-13,1.1548168303321295e-08,9.501164102930793e-06,21.20397803044751,1.05,1.1342092583690527e-13,0.47548559551431824,0.5875388197627909,0.69,0.0001,2.0,2.0,26048.53014495819,6.464535125462457e-11
10,2.2425418616350127e-13,1.7081181714092156e-08,4.228733731125763e-06,16.748209977771268,1.05,1.7272951589705057e-13,0.41475834205863704,0.5135588433136677,0.69,0.0001,2.0,2.0,11154.763264136145,1.9439749776600912e-11
