,CP,LS,IS,RS,N,CJ0,M,VJ,EG,IBV,BV,XTI,RL,CL
0,1.5106363288305553e-13,8.319062126175986e-10,8.347031926409255e-06,13.991666406908164,1.05,1.7196414282141025e-13,0.3904722409636983,0.3984008920211558,0.69,0.0001,2.0,2.0,28730.33291564924,1.1899494525854728e-11
1,1.3933407731379942e-13,1.9837703828315524e-08,6.187517450470044e-05,16.533407770107978,1.05,1.515573980837958e-13,0.4234399277745887,0.3724760085368411,0.69,0.0001,2.0,2.0,46608.01612335516,8.352897621906031e-11
2,1.3978607153277054e-13,8.875781293981249e-10,1.7853986431662973e-05,8.466390807660218,1.05,1.7361841741678894e-13,0.3258485260821959,0.4210321196576754,0.69,0.0001,2.0,2.0,3340.692441643048,3.6857634546906204e-11
3,1.5231341345798075e-13,5.2426542333502224e-09,3.922672571629778e-05,11.866931720598423,1.05,1.958970764606408e-13,0.3115653281604845,0.3595421560206986,0.69,0.0001,2.0,2.0,3107.223702930457,2.8172701337618355e-11
4,1.831028921151479e-13,1.74948016398471e-08,6.696627177249673e-05,20.0587233111618,1.05,1.8558570628468814e-13,0.33204555095254734,0.37816918458436743,0.69,0.0001,2.0,2.0,13968.819091743098,9.461991443812415e-11
5,1.944028019166782e-13,3.943181942822408e-09,6.889306934350588e-05,20.258935277243225,1.05,1.3563207616166012e-13,0.38833398408866426,0.5070849842725375,0.69,0.0001,2.0,2.0,38438.621267097216,7.238716768632456e-11
6,1.801306435295871e-13,1.4154392347314979e-08,4.684090061582891e-05,10.451575339390004,1.05,1.9077860947962573e-13,0.4855007991376814,0.4675072875379519,0.69,0.0001,2.0,2.0,14777.302550488006,8.560563990526256e-11
7,6.553473715595346e-14,7.230793491084106e-09,7.926975027661443e-05,5.31642326678826,1.05,1.3743916008903295e-13,0.3902176972773428,0.6488349822050739,0.69,0.0001,2.0,2.0,41699.61484157484,5.6514948843653786e-11
8,1.2285355530067397e-13,4.101228727636405e-09,1.3986626296391321e-05,25.190234784356548,1.05,1.7382070808467682e-13,0.46617471103813346,0.6108971095743055,0.69,0.0001,2.0,2.0,5812.411763963884,6.269462242639841e-11
9,2.380945167968388e-13,3.087879787355809e-09,3.866837864860073e-05,22.295842817081724,1.05,1.0781966300282972e-13,0.3862849267466935,0.46789273724898206,0.69,0.0001,2.0,2.0,36513.903814920726,8.703467900009723e-11
10,5.846493534236365e-14,1.1869973594815693e-08,7.655559635496999e-05,5.20671846724887,1.05,1.2401782239280061e-13,0.3588013333502792,0.4539956990887358,0.69,0.0001,2.0,2.0,17612.51937069298,1.297348782658807e-11
11,2.4828647466094277e-13,1.652566541915778e-08,9.242936105469532e-05,13.73895679753843,1.05,1.0001444103941077e-13,0.35756507123665116,0.43683532702362254,0.69,0.0001,2.0,2.0,42782.18968259467,3.037265792548307e-11
12,1.052172804989642e-13,1.7494836950184646e-08,3.078726579612547e-05,28.58409862974323,1.05,1.977029074254917e-13,0.4743584474206348,0.3267044835432475,0.69,0.0001,2.0,2.0,38667.56479026043,9.767523109077746e-11
13,1.311086433603208e-13,1.685634455405583e-09,8.474446965088956e-05,14.72622797491159,1.05,1.0561800785039702e-13,0.4340609706681584,0.49055558863452936,0.69,0.0001,2.0,2.0,9466.635015945749,4.7957525674460745e-11
14,6.546738697439856e-14,1.6350798909447715e-08,1.583696459930904e-05,24.60633350188805,1.05,1.9969782866536028e-13,0.41109186051845903,0.39823862055171766,0.69,0.0001,2.0,2.0,24383.34866473976,2.0025660924776945e-11
15,1.2121707673886576e-13,1.745154654861088e-08,9.113394309518492e-05,26.049089428770294,1.05,1.3891416692645012e-13,0.35315363337135897,0.3467687474466375,0.69,0.0001,2.0,2.0,46306.966545620446,9.333408802084699e-11
16,1.1217273267749657e-13,1.4723883593919653e-08,6.663584524973385e-05,24.278222458245388,1.05,1.6661294849237697e-13,0.3316277227001175,0.6116114337537,0.69,0.0001,2.0,2.0,25784.84590653589,3.539281365633005e-11
17,1.4815468146404708e-13,1.768523988303433e-09,8.59711148989407e-05,6.766863543573854,1.05,1.3052885960755066e-13,0.3596069563176111,0.4880256431577376,0.69,0.0001,2.0,2.0,10706.129516622097,5.438522213380891e-11
18,1.602001381248481e-13,1.0460472194272096e-08,7.081887989497616e-05,20.86734030695592,1.05,1.1703397375971717e-13,0.3460613337362965,0.55802131747332,0.69,0.0001,2.0,2.0,9101.251808247396,6.492015711746293e-11
19,1.897011445723407e-13,1.5860371433907897e-08,8.286864621072757e-05,20.099183283810028,1.05,1.7576311453710864e-13,0.4167234212951284,0.43415185326458916,0.69,0.0001,2.0,2.0,38953.90163983697,3.458258750063202e-11
20,1.6649185445431276e-13,2.913238035739803e-09,3.4303705754458516e-05,7.074608023804133,1.05,1.1199151505035156e-13,0.30852725515780366,0.47109143243718254,0.69,0.0001,2.0,2.0,2200.7270785126393,6.237745549391132e-11
21,7.233461460840036e-14,8.816935976551244e-09,3.762776031958962e-05,25.7288524258968,1.05,1.6392170864394157e-13,0.3126451346488004,0.3950424022838686,0.69,0.0001,2.0,2.0,12730.023735866138,1.9000539562197827e-11
22,1.994578606396492e-13,5.306011434123187e-09,2.173600156524007e-05,12.13994368357872,1.05,1.1651716783086645e-13,0.38438444050917725,0.33155343784532487,0.69,0.0001,2.0,2.0,20449.0349202659,2.3206794024528927e-11
23,2.034417990345309e-13,4.645378698335791e-09,3.5837914541819136e-05,27.569020973815952,1.05,1.4805232639422604e-13,0.45783545444875645,0.3619136103854536,0.69,0.0001,2.0,2.0,3306.122673488865,3.5993465646027687e-12
24,1.5119408232106714e-13,2.5283455998421964e-09,5.94056160434397e-05,19.96231325104508,1.05,1.3272826996632112e-13,0.473915446216059,0.5326427812867846,0.69,0.0001,2.0,2.0,18601.868633405964,9.525954561830942e-12
25,1.0634836696925187e-13,1.1356533332042739e-08,2.642437790308336e-06,24.876862188023683,1.05,1.8046105161863786e-13,0.41766191947276926,0.4337262043970435,0.69,0.0001,2.0,2.0,46863.75022465882,2.1899839842712813e-11
26,1.5008865674836148e-13,6.021727622695088e-09,7.171141586906765e-05,24.105993043649637,1.05,1.298527578418809e-13,0.42160112221819723,0.5547971233132546,0.69,0.0001,2.0,2.0,36341.38813101473,6.752055158399118e-11
27,1.372931790392363e-13,8.3898717078135e-09,1.5486113980310925e-05,18.367192290399117,1.05,1.1013005592259802e-13,0.38140171865737255,0.5525611365222651,0.69,0.0001,2.0,2.0,26267.716969638226,2.2275623490883032e-11
28,2.4984912609677004e-13,4.278697578326109e-09,5.152486964234082e-05,10.660099671767867,1.05,1.0115690857527941e-13,0.39140207504148894,0.3166393984530506,0.69,0.0001,2.0,2.0,36658.955380719344,9.886016699851815e-11
29,2.2651630790617777e-13,8.575626722858344e-09,7.418708564033509e-05,11.53544193557342,1.05,1.4510946528031625e-13,0.4031547324911589,0.5651739543844543,0.69,0.0001,2.0,2.0,39418.212678095246,8.879571734557799e-11
30,2.4689369495120537e-13,7.984397766053649e-09,8.309996228128711e-05,16.257824944008412,1.05,1.9140468416954573e-13,0.3104353205108107,0.39573251519167923,0.69,0.0001,2.0,2.0,15780.169796016498,6.206443252501663e-11
31,1.3171454273244352e-13,1.4646383654175695e-08,6.205845977212239e-05,29.054816485890225,1.05,1.2152335065892454e-13,0.4926779816521326,0.3404614815501956,0.69,0.0001,2.0,2.0,48885.50332089576,5.922746410777797e-11
32,1.982788686593121e-13,1.1573487755203466e-09,7.766789704269098e-05,19.368966770173323,1.05,1.575280640839956e-13,0.34045825017297365,0.4233654836921889,0.69,0.0001,2.0,2.0,12887.5775720554,7.091406280775792e-11
33,6.797172062415072e-14,7.683109479878147e-09,4.323039163937375e-05,24.062993569207322,1.05,1.9721642028112817e-13,0.47357860855179906,0.6170411563843077,0.69,0.0001,2.0,2.0,18821.39185598024,9.733063977143996e-11
34,1.8263613037755246e-13,1.3928674121750774e-08,8.778614993837681e-05,24.74705225065661,1.05,1.2024099855000628e-13,0.40744407879295413,0.587332957594814,0.69,0.0001,2.0,2.0,24049.76397407861,3.1419435404991134e-11
35,1.7410954467523685e-13,1.767943657525309e-08,1.5953455194816354e-05,26.440861663632003,1.05,1.032524645415707e-13,0.40432756005687226,0.5257316545923397,0.69,0.0001,2.0,2.0,4710.639160778923,5.2052723105747505e-11
36,1.1310516410245617e-13,1.9955014867893582e-08,9.521770971411622e-05,18.298460303841303,1.05,1.6227668781390118e-13,0.40118302538812517,0.6474569944028,0.69,0.0001,2.0,2.0,4401.765855273422,7.258971132758261e-11
37,1.6480348011755178e-13,1.698373437661054e-08,3.87040501904603e-05,5.211289380317192,1.05,1.420975504993435e-13,0.30773315974549353,0.5525111495880464,0.69,0.0001,2.0,2.0,12954.073749523306,8.584963935450395e-11
38,1.3274393203950262e-13,6.502883776691562e-09,8.011037316691343e-05,21.796565384914885,1.05,1.75640100390631e-13,0.3552702124361496,0.34550053710738254,0.69,0.0001,2.0,2.0,39069.56995567279,4.039514202283231e-12
39,9.272983716694738e-14,1.636008975286773e-08,8.48399435290838e-05,8.429544676343074,1.05,1.7597989246653539e-13,0.3624434550819301,0.6056169192666352,0.69,0.0001,2.0,2.0,19697.364216034097,6.803563577256512e-11
40,2.159625207064718e-13,6.440808180088737e-09,3.6271239956506514e-05,22.907938744559658,1.05,1.8743492674054725e-13,0.3221023658400438,0.5166634533587037,0.69,0.0001,2.0,2.0,21083.74609529605,1.4943049972864232e-11
41,1.2100908813797656e-13,1.9651739575890983e-08,4.299244998375233e-05,8.181150883010151,1.05,1.8679908734128068e-13,0.45818032078261617,0.5264553222894671,0.69,0.0001,2.0,2.0,16482.09254837826,1.5949048574568384e-11
42,1.5448707554556455e-13,6.987538881874025e-09,5.196757512803557e-05,15.767860492832096,1.05,1.0288414269002096e-13,0.4924677330301866,0.3341267827062911,0.69,0.0001,2.0,2.0,23584.454387040943,7.19016548178044e-11
43,1.39608085744982e-13,1.3451128011784033e-08,9.813915973305532e-05,24.34161253151129,1.05,1.9137814432359627e-13,0.45906488648172256,0.324597960608714,0.69,0.0001,2.0,2.0,23304.88452994576,6.3399616570608255e-12
44,1.5707476061900732e-13,1.4515963256246922e-08,8.942061077507705e-05,24.791586489035268,1.05,1.4962738066903572e-13,0.47841125943994933,0.4956593505226695,0.69,0.0001,2.0,2.0,15859.263583988737,3.842219605605899e-11
45,1.8405967709582247e-13,4.780946374034867e-09,2.442140213625016e-05,28.66685160203854,1.05,1.2698074605795831e-13,0.3558777625979084,0.3987739165625283,0.69,0.0001,2.0,2.0,37347.17139926625,7.605273801800818e-11
46,2.0952618240718971e-13,6.703411810470512e-09,4.598977410698048e-05,20.545490899354476,1.05,1.9988638006890084e-13,0.46498308192144755,0.5526780801608047,0.69,0.0001,2.0,2.0,6116.784831781838,2.5542100703031724e-11
47,2.346543173298471e-13,1.9857956992758237e-08,9.628971052121459e-05,19.654750753837043,1.05,1.4949157376936349e-13,0.425934962159365,0.3128668868277995,0.69,0.0001,2.0,2.0,44165.63724735952,3.891842660460559e-11
48,1.7325664348711398e-13,1.550255869326435e-08,8.77200628429119e-05,11.633649122706872,1.05,1.3425322507540778e-13,0.4465427372706482,0.34363565393509166,0.69,0.0001,2.0,2.0,23035.89107609599,3.279271479237183e-11
49,1.4114988660038787e-13,1.0660544178217336e-08,6.73895393553415e-05,5.6497303060951,1.05,1.5301993463471202e-13,0.41012466095828526,0.31001698170457526,0.69,0.0001,2.0,2.0,6832.2399912906185,8.322068532431809e-11
50,1.9148912014514312e-13,6.910084253039397e-09,8.356160041359172e-05,27.74278549529425,1.05,1.3038505062993677e-13,0.3381801734620933,0.5685761636336646,0.69,0.0001,2.0,2.0,794.0919891987546,4.598928814378204e-11
51,1.2992669360130251e-13,1.8819452034653204e-09,2.315865657275615e-05,12.405487621796746,1.05,1.0655499425623981e-13,0.38232805546639503,0.37131444781547046,0.69,0.0001,2.0,2.0,7921.291810657676,7.649532247234047e-11
52,1.498227895246995e-13,1.6103350766044254e-08,3.424989946596301e-05,24.57611693267848,1.05,1.2499251959865264e-13,0.33127855812858903,0.4788630654787025,0.69,0.0001,2.0,2.0,6178.746133989879,4.494447781395697e-11
53,8.646566350620498e-14,1.6392506163978033e-08,3.93835790455276e-05,14.429504007724876,1.05,1.6851642847857786e-13,0.3214547067782348,0.43287289612569657,0.69,0.0001,2.0,2.0,38669.2306661126,7.949480219312321e-11
54,1.3366585703599885e-13,1.63151217255515e-08,7.062408543716457e-06,19.048732260444844,1.05,1.235431469619767e-13,0.41159480170938967,0.3534821784049822,0.69,0.0001,2.0,2.0,25024.72212316438,1.403756404199427e-11
55,7.461810712577299e-14,1.2634317478216742e-08,1.2088567084076962e-05,21.253719480680573,1.05,1.6926828070562182e-13,0.3066706141239318,0.5821961614247043,0.69,0.0001,2.0,2.0,37311.16320741388,9.154774515957815e-11
56,7.297043332703915e-14,2.131042084240061e-09,6.987592705731026e-05,27.134004198727478,1.05,1.4863122976452458e-13,0.35531677763310787,0.32023159106754573,0.69,0.0001,2.0,2.0,28522.233006634284,1.2233268165037955e-11
57,1.7218426937228132e-13,3.990543035200482e-09,6.37490166714601e-05,27.84583410261545,1.05,1.555852236929296e-13,0.3601089044655712,0.31623246928592286,0.69,0.0001,2.0,2.0,12625.858910839052,7.731933868153211e-11
58,1.03011454936173e-13,6.3509300953335335e-09,2.3877338111694914e-05,20.904868230422142,1.05,1.5163899681732064e-13,0.4514763093664634,0.6233443514770857,0.69,0.0001,2.0,2.0,6936.977921048847,1.1131323644035911e-11
59,9.79936607504075e-14,1.4962157129313978e-08,5.730185286796913e-05,6.34333703936744,1.05,1.958439674843524e-13,0.3303258003703892,0.6349942645746722,0.69,0.0001,2.0,2.0,47368.87528027199,9.614158382252642e-11
60,8.472850591625039e-14,1.952065581945723e-08,3.13449706233417e-05,7.798061589165179,1.05,1.7481317170843923e-13,0.3706851365198988,0.5158404906662812,0.69,0.0001,2.0,2.0,31639.30118259811,9.326335065874727e-11
61,2.0625606917323942e-13,9.81058072632908e-09,4.081581448271217e-05,6.88733480457865,1.05,1.593282950947087e-13,0.44275642592906017,0.649176913235596,0.69,0.0001,2.0,2.0,10905.629159600827,7.447299359970289e-11
62,7.048389098703325e-14,1.3203116637807544e-08,5.2303539133878075e-05,14.699380365841643,1.05,1.8479463882322454e-13,0.32423119055715616,0.36544526325405924,0.69,0.0001,2.0,2.0,32701.71471982601,7.676263001062279e-11
63,1.0078567759007407e-13,4.4067051366428385e-09,6.537349882675348e-05,25.52988677474018,1.05,1.7122194744879755e-13,0.3073189222372986,0.6013676117338222,0.69,0.0001,2.0,2.0,22051.668680395913,2.019447117914884e-11
