,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
0,(0.004020126480312548+0j),(0.0811390933863247+0j),(-0.0005269678547868892+0j),(8.430479131503512-83.06506740229011j),(0.21991509199142456+0j),(6.0469192249001935e-06+0j),(1.1605038716675159e-06+0j),(0.19191654932130672+0j),(-20+0j),(2.0367373061039487e-06+0j)
1,(0.0071566794598379255+0j),(0.08100787564883803+0j),(-0.0004972395365795802+0j),(8.70320229733721-81.44643396410758j),(0.23385347425937653+0j),(6.4859464146138635e-06+0j),(1.3122729524404462e-06+0j),(0.2023255926820005+0j),(-15+0j),(2.036739346920275e-06+0j)
2,(0.010286169661136157+0j),(0.0808843345150735+0j),(-0.0004668273521205604+0j),(9.072667814179773-79.87241019785868j),(0.24707910418510437+0j),(7.020098109933315e-06+0j),(1.4649019627960598e-06+0j),(0.20867257691502195+0j),(-10+0j),(2.0367413877366017e-06+0j)
3,(0.01340550865484291+0j),(0.0807686393549925+0j),(-0.00043577163839684705+0j),(9.606172443038021-78.30699130453009j),(0.2593309283256531+0j),(7.716703294136096e-06+0j),(1.613783066635501e-06+0j),(0.20912856243440264+0j),(-5+0j),(2.036743428552928e-06+0j)
4,(0.016511618029973682+0j),(0.08066094907377547+0j),(-0.00040411404268290643+0j),(10.408407272517914-76.7061021125464j),(0.27034783363342285+0j),(8.685006832820363e-06+0j),(1.7538090725213224e-06+0j),(0.20193525535221618+0j),0j,(2.0367454693692547e-06+0j)
5,(0.019601432431580273+0j),(0.08056141178604678+0j),(-0.00037189745494160413+0j),(11.638052358442327-75.01374152488647j),(0.2799221873283386+0j),(1.0098068742081523e-05+0j),(1.880230836176485e-06+0j),(0.1861970723511743+0j),(5+0j),(2.036747510185581e-06+0j)
6,(0.022671902585531714+0j),(0.08047016450774075+0j),(-0.00033916593722094305+0j),(13.527638344090507-73.14343791723735j),(0.2879297733306885+0j),(1.2224578313180245e-05+0j),(1.989343024541233e-06+0j),(0.16273305905336394+0j),(10+0j),(2.0367495510019077e-06+0j)
7,(0.025719998309199396+0j),(0.080387332866355+0j),(-0.00030596465020325526+0j),(16.4011672428607-70.92779280998434j),(0.29429590702056885+0j),(1.5473508028662764e-05+0j),(2.078284358015497e-06+0j),(0.13431242315354294+0j),(15+0j),(2.0367515918182342e-06+0j)
8,(0.028742711499748302+0j),(0.08031303083029714+0j),(-0.00027233977707323423+0j),(20.67083903029233-68.01824111407814j),(0.29888084530830383+0j),(2.0450903321034275e-05+0j),(2.1435454206699322e-06+0j),(0.10481421710429979+0j),(20+0j),(2.0367536326345607e-06+0j)
9,(0.03173705910419588+0j),(0.08024736045798674+0j),(-0.0002383384448800164+0j),(26.771073866855687-63.73422956815606j),(0.30125945806503296+0j),(2.8010546884615906e-05+0j),(2.1777995601606222e-06+0j),(0.07774926955662992+0j),(25+0j),(2.0367556734508872e-06+0j)
10,(0.03470008606296842+0j),(0.0801904116673282+0j),(-0.00020400864357679322+0j),(35.00134695973197-56.908355665175854j),(0.3001696765422821+0j),(3.920699600712396e-05+0j),(2.162072033595945e-06+0j),(0.05514505710162272+0j),(30+0j),(2.0367577142672137e-06+0j)
11,(0.037628868226188134+0j),(0.08014226202612337+0j),(-0.00016939914292948667+0j),(45.45074062606832-45.67415493277497j),(0.2916550934314728+0j),(5.473483179230243e-05+0j),(2.0411534498983475e-06+0j),(0.037291673018083574+0j),(35+0j),(2.0367597550835403e-06+0j)
12,(0.04052051523912342+0j),(0.08010297656394219+0j),(-0.0001345594074930978+0j),(58.779933065423-25.65995921612141j),(0.26087918877601624+0j),(7.144730625441298e-05+0j),(1.6331098393339297e-06+0j),(0.022857542501583953+0j),(40+0j),(2.0367617958998668e-06+0j)
13,(0.04337217339595485+0j),(0.0800726076059181+0j),(-9.953950986076228e-05+0j),(91.46503235480442+58.237353909458136j),(0.08792836964130402+0j),(3.8896680052857846e-05+0j),(1.8552163621495572e-07+0j),(0.0047696007978790195+0j),(45+0j),(2.0367638367161933e-06+0j)
14,(0.04618102845402938+0j),(0.08005119462888241+0j),(-6.439004239657698e-05+0j),,,,,,,(2.0367658775325198e-06+0j)
15,(0.0489443084125218+0j),(0.08003876414019657+0j),(-2.9162027668203736e-05+0j),,,,,,,(2.0367679183488463e-06+0j)
16,(0.051659286247727844+0j),(0.08003532957958638+0j),(6.093172200588352e-06+0j),,,,,,,(2.036769959165173e-06+0j)
17,(0.054323282604307334+0j),(0.08004089124422488+0j),(4.132394703361278e-05+0j),,,,,,,(2.0367719999814993e-06+0j)
18,(0.056933668439185375+0j),(0.08005543623725353+0j),(7.647853073589285e-05+0j),,,,,,,(2.036774040797826e-06+0j)
