,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
0,(0.004020126480312548+0j),(0.06735889784494722+0j),(-0.0007976044342438416+0j),(12.705240611800892-69.63027721669835j),(0.32041412591934204+0j),(1.2680374311457854e-05+0j),(4.136181269544272e-06+0j),(0.3261876320012779+0j),(-20+0j),(2.0367373061039487e-06+0j)
1,(0.0071566794598379255+0j),(0.06733906289311471+0j),(-0.0007733951839001239+0j),(13.06831500370608-69.09157478690436j),(0.333035409450531+0j),(1.3215180842962582e-05+0j),(4.468451805133708e-06+0j),(0.33813020481768674+0j),(-15+0j),(2.036739346920275e-06+0j)
2,(0.010286169661136157+0j),(0.0673198496111381+0j),(-0.0007482245554644781+0j),(13.548096959690469-68.5363304760307j),(0.3451736569404602+0j),(1.3879011021344922e-05+0j),(4.800113896019016e-06+0j),(0.3458541742373996+0j),(-10+0j),(2.0367413877366017e-06+0j)
3,(0.01340550865484291+0j),(0.06730128187165627+0j),(-0.0007221189832314475+0j),(14.225130352548776-67.9320635107359j),(0.35661035776138306+0j),(1.4765162632102147e-05+0j),(5.123469570626929e-06+0j),(0.3469971647645503+0j),(-5+0j),(2.036743428552928e-06+0j)
4,(0.016511618029973682+0j),(0.06728338286290722+0j),(-0.0006951063954423076+0j),(15.2264302750912-67.22626385899754j),(0.3670521378517151+0j),(1.602370321052149e-05+0j),(5.427899160765642e-06+0j),(0.33874186818447644+0j),0j,(2.0367454693692547e-06+0j)
5,(0.019601432431580273+0j),(0.06726617505149843+0j),(-0.0006672161837015435+0j),(16.746953139787635-66.33188306241033j),(0.37613314390182495+0j),(1.789057205314748e-05+0j),(5.699797979089332e-06+0j),(0.3185922709546098+0j),(5+0j),(2.036747510185581e-06+0j)
6,(0.022671902585531714+0j),(0.06724968014597793+0j),(-0.0006384791699618294+0j),(19.07520352887584-65.09615478523463j),(0.3834168016910553+0j),(2.072770439554006e-05+0j),(5.922683637607545e-06+0j),(0.28573755803280937+0j),(10+0j),(2.0367495510019077e-06+0j)
7,(0.025719998309199396+0j),(0.06723391906126684+0j),(-0.0006089275711221003+0j),(22.614915145474498-63.23354673591623j),(0.3883472979068756+0j),(2.507240787963383e-05+0j),(6.07598692125744e-06+0j),(0.2423375908060641+0j),(15+0j),(2.0367515918182342e-06+0j)
8,(0.028742711499748302+0j),(0.06721891188401263+0j),(-0.0005785949612873699+0j),(27.881717565679516-60.19640438414014j),(0.3900272846221924+0j),(3.1676558137405664e-05+0j),(6.128669951660599e-06+0j),(0.19347651108671057+0j),(20+0j),(2.0367536326345607e-06+0j)
9,(0.03173705910419588+0j),(0.06720467783892146+0j),(-0.000547516231742577+0j),(35.45175533225947-54.95817956768119j),(0.38649579882621765+0j),(4.144239937886596e-05+0j),(6.0181888263458505e-06+0j),(0.14521815620103543+0j),(25+0j),(2.0367556734508872e-06+0j)
