,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
0,(0.004020126480312548+0j),(0.06895564836932733+0j),(0.0008091019952431981+0j),(9.319672879353881-181.22110072556617j),(0.06272616982460022+0j),(1.4151576124277199e-06+0j),(1.0519930015873287e-07+0j),(0.0743375149417189+0j),(-20+0j),(2.0367373061039487e-06+0j)
1,(0.0071566794598379255+0j),(0.06898054012435975+0j),(0.0008268048644277337+0j),(9.899754411376547-178.52265011224318j),(0.07086440920829773+0j),(1.5483631159440847e-06+0j),(1.3426773205038586e-07+0j),(0.08671591997237592+0j),(-15+0j),(2.036739346920275e-06+0j)
2,(0.010286169661136157+0j),(0.06900593820550469+0j),(0.0008423044949181379+0j),(10.702833050959258-175.8262479548264j),(0.07784167677164078+0j),(1.7246194374820334e-06+0j),(1.6200919961136425e-07+0j),(0.09393910105054816+0j),(-10+0j),(2.0367413877366017e-06+0j)
3,(0.01340550865484291+0j),(0.06903177519335689+0j),(0.000855586518966143+0j),(11.88338912631545-173.07246561511823j),(0.08340644091367722+0j),(1.9742842596315313e-06+0j),(1.860006623374524e-07+0j),(0.09421169288568733+0j),(-5+0j),(2.036743428552928e-06+0j)
4,(0.016511618029973682+0j),(0.06905798335051468+0j),(0.0008666444488275246+0j),(13.673854126074346-170.19118372916452j),(0.087494857609272+0j),(2.3452541881852085e-06+0j),(2.0468233797283453e-07+0j),(0.08727511883529379+0j),0j,(2.0367454693692547e-06+0j)
5,(0.019601432431580273+0j),(0.0690844948728709+0j),(0.0008754803945764339+0j),(16.411592343649613-167.05168512366137j),(0.09018325805664062+0j),(2.912356876549893e-06+0j),(2.1745387628002034e-07+0j),(0.07466594428414482+0j),(5+0j),(2.036747510185581e-06+0j)
6,(0.022671902585531714+0j),(0.06911124216551996+0j),(0.0008821059604148878+0j),(20.549378139932827-163.35975811958488j),(0.09158102422952652+0j),(3.79015591533971e-06+0j),(2.2424682574170094e-07+0j),(0.05916559390976975+0j),(10+0j),(2.0367495510019077e-06+0j)
7,(0.025719998309199396+0j),(0.06913815814585098+0j),(0.0008865431310754331+0j),(26.58703712384145-158.51817946895386j),(0.09175162017345428+0j),(5.1455303946568165e-06+0j),(2.250830520287304e-07+0j),(0.043743411225878576+0j),(15+0j),(2.0367515918182342e-06+0j)
8,(0.028742711499748302+0j),(0.06916517657461717+0j),(0.0008888252198962413+0j),(34.86432253108348-151.59211937607148j),(0.09072618186473846+0j),(7.2046004788717255e-06+0j),(2.2008000148100354e-07+0j),(0.030547148606839766+0j),(20+0j),(2.0367536326345607e-06+0j)
9,(0.03173705910419588+0j),(0.06919223242050729+0j),(0.000888998117585756+0j),(45.371663278787274-141.6556936020432j),(0.08866937458515167+0j),(1.0253445907437708e-05+0j),(2.1021446756618714e-07+0j),(0.020501836110892287+0j),(25+0j),(2.0367556734508872e-06+0j)
10,(0.03470008606296842+0j),(0.06921926226793913+0j),(0.0008871218776709746+0j),(57.98705910401243-128.11352557264104j),(0.08592268079519272+0j),(1.4661190107290167e-05+0j),(1.9739263696038298e-07+0j),(0.013463616221866665+0j),(30+0j),(2.0367577142672137e-06+0j)
11,(0.037628868226188134+0j),(0.06924620477667365+0j),(0.0008832725290775019+0j),(72.50511684984892-109.86630773426003j),(0.08253340423107147+0j),(2.0921745090163313e-05+0j),(1.8212720761268644e-07+0j),(0.008705163303911795+0j),(35+0j),(2.0367597550835403e-06+0j)
12,(0.04052051523912342+0j),(0.06927300119788224+0j),(0.0008775439653731029+0j),(87.44076454215254-84.6357603201984j),(0.07775026559829712+0j),(2.9522501790779643e-05+0j),(1.6162892117665868e-07+0j),(0.005474770475825257+0j),(40+0j),(2.0367617958998668e-06+0j)
13,(0.04337217339595485+0j),(0.0692995959453531+0j),(0.0008700496711642582+0j),(99.02284096569977-50.01537535353645j),(0.06967034935951233+0j),(4.022992288810201e-05+0j),(1.297810514013158e-07+0j),(0.003225983101242745+0j),(45+0j),(2.0367638367161933e-06+0j)
14,(0.04618102845402938+0j),(0.06932593721155997+0j),(0.0008609239374676343+0j),,,,,,,(2.0367658775325198e-06+0j)
15,(0.0489443084125218+0j),(0.06935197760638362+0j),(0.0008503221317926365+0j),,,,,,,(2.0367679183488463e-06+0j)
16,(0.051659286247727844+0j),(0.06937767478286555+0j),(0.000838419577737475+0j),,,,,,,(2.036769959165173e-06+0j)
17,(0.054323282604307334+0j),(0.06940299200253423+0j),(0.0008254087130583755+0j),,,,,,,(2.0367719999814993e-06+0j)
18,(0.056933668439185375+0j),(0.06942789858666146+0j),(0.0008114944517480879+0j),,,,,,,(2.036774040797826e-06+0j)
19,(0.059487867617303083+0j),(0.06945237020295154+0j),(0.000796888030863804+0j),,,,,,,(2.0367760816141523e-06+0j)
20,(0.06198335945213838+0j),(0.06947638895104137+0j),(0.000781799971212522+0j),,,,,,,(2.036778122430479e-06+0j)
21,(0.06441768119453459+0j),(0.06949994323266825+0j),(0.0007664329967505783+0j),,,,,,,(2.0367801632468054e-06+0j)
22,(0.06678843046283113+0j),(0.06952302741815305+0j),(0.0007509757590203923+0j),,,,,,,(2.036782204063132e-06+0j)
23,(0.06909326761319817+0j),(0.0695456413435147+0j),(0.0007355980067358735+0j),,,,,,,(2.0367842448794584e-06+0j)
24,(0.07132991805070214+0j),(0.06956778968707303+0j),(0.0007204475139092346+0j),,,,,,,(2.036786285695785e-06+0j)
25,(0.07349617447110039+0j),(0.06958948127891457+0j),(0.0007056487493137474+0j),,,,,,,(2.0367883265121114e-06+0j)
26,(0.0755898990403396+0j),(0.06961072839234027+0j),(0.0006913030255047316+0j),,,,,,,(2.036790367328438e-06+0j)
27,(0.07760902550530327+0j),(0.06963154605654992+0j),(0.0006774897422981227+0j),,,,,,,(2.0367924081447644e-06+0j)
28,(0.07955156123194253+0j),(0.06965195141783602+0j),(0.0006642683241646353+0j),,,,,,,(2.036794448961091e-06+0j)
29,(0.08141558917159784+0j),(0.0696719631651751+0j),(0.0006516805054980679+0j),,,,,,,(2.0367964897774174e-06+0j)
30,(0.0831992697546029+0j),(0.06969160102684345+0j),(0.0006397527025901929+0j),,,,,,,(2.036798530593744e-06+0j)
31,(0.0849008427031277+0j),(0.06971088533803885+0j),(0.0006284982976904268+0j),,,,,,,(2.0368005714100704e-06+0j)
32,(0.08651862877028785+0j),(0.0697298366752749+0j),(0.0006179197333641655+0j),,,,,,,(2.036802612226397e-06+0j)
33,(0.08805103139617805+0j),(0.06974847555103365+0j),(0.0006080103694192765+0j),,,,,,,(2.0368046530427235e-06+0j)
34,(0.08949653828428333+0j),(0.06976682216125919+0j),(0.00059875609090094+0j),,,,,,,(2.03680669385905e-06+0j)
35,(0.09085372289449278+0j),(0.0697848961782591+0j),(0.0005901366775888875+0j),,,,,,,(2.0368087346753765e-06+0j)
36,(0.09212124584910604+0j),(0.06980271658207594+0j),(0.0005821269570650396+0j),,,,,,,(2.036810775491703e-06+0j)
37,(0.0932978562559968+0j),(0.06982030152413715+0j),(0.0005746977682363419+0j),,,,,,,(2.0368128163080295e-06+0j)
38,(0.09438239294274735+0j),(0.06983766821782236+0j),(0.0005678167628458149+0j),,,,,,,(2.036814857124356e-06+0j)
39,(0.09537378560269487+0j),(0.0698548328514011+0j),(0.0005614490708344635+0j),,,,,,,(2.0368168979406825e-06+0j)
40,(0.09627105585054985+0j),(0.06987181051954001+0j),(0.0005555578526351417+0j),,,,,,,(2.036818938757009e-06+0j)
41,(0.09707331818944216+0j),(0.06988861517023495+0j),(0.0005501047583239072+0j),,,,,,,(2.0368209795733355e-06+0j)
42,(0.0977797808830829+0j),(0.06990525956458331+0j),(0.0005450503104436811+0j),,,,,,,(2.036823020389662e-06+0j)
43,(0.09838974673808566+0j),(0.06992175524728188+0j),(0.0005403542244659612+0j),,,,,,,(2.0368250612059886e-06+0j)
44,(0.09890261379179364+0j),(0.06993811252612274+0j),(0.0005359756783594985+0j),,,,,,,(2.036827102022315e-06+0j)
45,(0.099317875906344+0j),(0.0699543404590776+0j),(0.0005318735406081641+0j),,,,,,,(2.0368291428386416e-06+0j)
46,(0.0996351232681338+0j),(0.0699704468478183+0j),(0.0005280065642459242+0j),,,,,,,(2.036831183654968e-06+0j)
47,(0.09985404279239218+0j),(0.06998643823673058+0j),(0.0005243335530168203+0j),,,,,,,(2.0368332244712946e-06+0j)
48,(0.09997441843193673+0j),(0.0700023199166457+0j),(0.0005208135045789897+0j),,,,,,,(2.036835265287621e-06+0j)
49,(0.09999613139054436+0j),(0.07001809593265013+0j),(0.0005174057347113061+0j),,,,,,,(2.0368373061039476e-06+0j)
50,(0.09991916024014634+0j),(0.07003376909544244+0j),(0.0005140699857097123+0j),,,,,,,(2.036839346920274e-06+0j)
51,(0.09974358094200132+0j),(0.07004934099579453+0j),(0.0005107665215432709+0j),,,,,,,(2.0368413877366006e-06+0j)
52,(0.09946956677163798+0j),(0.07006481202174475+0j),(0.0005074562118482167+0j),,,,,,,(2.036843428552927e-06+0j)
53,(0.09909738814797496+0j),(0.07008018137820854+0j),(0.0005041006064473901+0j),,,,,,,(2.0368454693692536e-06+0j)
54,(0.09862741236638013+0j),(0.07009544710873832+0j),(0.0005006620017721859+0j),,,,,,,(2.03684751018558e-06+0j)
55,(0.09806010323620912+0j),(0.07011060611920307+0j),(0.0004971035003182339+0j),,,,,,,(2.0368495510019067e-06+0j)
56,(0.09739602062308132+0j),(0.07012565420318947+0j),(0.0004933890640712156+0j),,,,,,,(2.036851591818233e-06+0j)
57,(0.09663581989645381+0j),(0.07014058606895243+0j),(0.0004894835626847671+0j),,,,,,,(2.0368536326345597e-06+0j)
58,(0.09578025128248763+0j),(0.07015539536776484+0j),(0.00048535281706969845+0j),,,,,,,(2.036855673450886e-06+0j)
59,(0.09483015912419318+0j),(0.07017007472353577+0j),(0.00048096363895623964+0j),,,,,,,(2.0368577142672127e-06+0j)
60,(0.09378648104782472+0j),(0.07018461576358105+0j),(0.0004762838669128166+0j),,,,,,,(2.036859755083539e-06+0j)
61,(0.09265024703763886+0j),(0.0701990091504448+0j),(0.0004712823992418462+0j),,,,,,,(2.0368617958998657e-06+0j)
62,(0.09142257841942449+0j),(0.0702132446146824+0j),(0.0004659292241220593+0j),,,,,,,(2.0368638367161922e-06+0j)
63,(0.09010468675404737+0j),(0.07022731098852554+0j),(0.0004601954473248042+0j),,,,,,,(2.0368658775325187e-06+0j)
64,(0.08869787264116509+0j),(0.07024119624036036+0j),(0.00045405331779667596+0j),,,,,,,(2.0368679183488452e-06+0j)
65,(0.08720352443660778+0j),(0.0702548875099572+0j),(0.0004474762513715136+0j),,,,,,,(2.0368699591651718e-06+0j)
66,(0.0856231168816385+0j),(0.07026837114439843+0j),(0.0004404388528492815+0j),,,,,,,(2.0368719999814983e-06+0j)
67,(0.08395820964770916+0j),(0.07028163273465854+0j),(0.00043291693665706423+0j),,,,,,,(2.0368740407978248e-06+0j)
68,(0.0822104457974601+0j),(0.07029465715279522+0j),(0.00042488754628810876+0j),,,,,,,(2.0368760816141513e-06+0j)
69,(0.08038155016239674+0j),(0.07030742858971763+0j),(0.00041632897269696555+0j),,,,,,,(2.036878122430478e-06+0j)
70,(0.07847332764190332+0j),(0.07031993059350235+0j),(0.000407220771813285+0j),,,,,,,(2.0368801632468043e-06+0j)
71,(0.0764876614212251+0j),(0.07033214610823206+0j),(0.0003975437813222132+0j),,,,,,,(2.036882204063131e-06+0j)
72,(0.07442651111318954+0j),(0.07034405751333705+0j),(0.0003872801368459886+0j),,,,,,,(2.0368842448794573e-06+0j)
73,(0.07229191082430506+0j),(0.07035564666342292+0j),(0.000376413287649697+0j),,,,,,,(2.036886285695784e-06+0j)
74,(0.07008596714786237+0j),(0.07036689492857172+0j),(0.0003649280119831812+0j),,,,,,,(2.0368883265121103e-06+0j)
75,(0.06781085708265433+0j),(0.0703777832351071+0j),(0.00035281043216082487+0j),,,,,,,(2.036890367328437e-06+0j)
76,(0.06546882588866755+0j),(0.07038829210681657+0j),(0.0003400480294733052+0j),,,,,,,(2.0368924081447634e-06+0j)
77,(0.06306218486767422+0j),(0.07039840170662756+0j),(0.000326629659016825+0j),,,,,,,(2.03689444896109e-06+0j)
