,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
0,(0.004020126480312548+0j),(0.2891104508087895+0j),(0.0010526275190415777+0j),(12.705240611800892-69.63027721669835j),(0.32041412591934204+0j),(1.2680374311457854e-05+0j),(4.136181269544272e-06+0j),(0.3261876320012779+0j),(-20+0j),(2.0367373061039487e-06+0j)
1,(0.0071566794598379255+0j),(0.2891952014804527+0j),(0.0011118830545976002+0j),(13.06831500370608-69.09157478690436j),(0.333035409450531+0j),(1.3215180842962582e-05+0j),(4.468451805133708e-06+0j),(0.33813020481768674+0j),(-15+0j),(2.036739346920275e-06+0j)
2,(0.010286169661136157+0j),(0.2892845694529819+0j),(0.0011698151640984133+0j),(13.548096959690469-68.5363304760307j),(0.3451736569404602+0j),(1.3879011021344922e-05+0j),(4.800113896019016e-06+0j),(0.3458541742373996+0j),(-10+0j),(2.0367413877366017e-06+0j)
3,(0.01340550865484291+0j),(0.28937844746376357+0j),(0.0012263486716220517+0j),(14.225130352548776-67.9320635107359j),(0.35661035776138306+0j),(1.4765162632102147e-05+0j),(5.123469570626929e-06+0j),(0.3469971647645503+0j),(-5+0j),(2.036743428552928e-06+0j)
4,(0.016511618029973682+0j),(0.28947672240701344+0j),(0.0012814104527225606+0j),(15.2264302750912-67.22626385899754j),(0.3670521378517151+0j),(1.602370321052149e-05+0j),(5.427899160765642e-06+0j),(0.33874186818447644+0j),0j,(2.0367454693692547e-06+0j)
5,(0.019601432431580273+0j),(0.28957927549998835+0j),(0.001334929549533404+0j),(16.746953139787635-66.33188306241033j),(0.37613314390182495+0j),(1.789057205314748e-05+0j),(5.699797979089332e-06+0j),(0.3185922709546098+0j),(5+0j),(2.036747510185581e-06+0j)
6,(0.022671902585531714+0j),(0.2896859824580705+0j),(0.0013868372808489473+0j),(19.07520352887584-65.09615478523463j),(0.3834168016910553+0j),(2.072770439554006e-05+0j),(5.922683637607545e-06+0j),(0.28573755803280937+0j),(10+0j),(2.0367495510019077e-06+0j)
7,(0.025719998309199396+0j),(0.2897967136783181+0j),(0.0014370673469284937+0j),(22.614915145474498-63.23354673591623j),(0.3883472979068756+0j),(2.507240787963383e-05+0j),(6.07598692125744e-06+0j),(0.2423375908060641+0j),(15+0j),(2.0367515918182342e-06+0j)
8,(0.028742711499748302+0j),(0.2899113344310577+0j),(0.001485555928781503+0j),(27.881717565679516-60.19640438414014j),(0.3900272846221924+0j),(3.1676558137405664e-05+0j),(6.128669951660599e-06+0j),(0.19347651108671057+0j),(20+0j),(2.0367536326345607e-06+0j)
9,(0.03173705910419588+0j),(0.2900297050590735+0j),(0.0015322417817079743+0j),(35.45175533225947-54.95817956768119j),(0.38649579882621765+0j),(4.144239937886596e-05+0j),(6.0181888263458505e-06+0j),(0.14521815620103543+0j),(25+0j),(2.0367556734508872e-06+0j)
10,(0.03470008606296842+0j),(0.2901516811839338+0j),(0.001577066322884066+0j),(45.956616133532435-45.59052305228061j),(0.37232348322868347+0j),(5.483415588969365e-05+0j),(5.58492201006962e-06+0j),(0.10185115316271941+0j),(30+0j),(2.0367577142672137e-06+0j)
11,(0.037628868226188134+0j),(0.29027711391897565+0j),(0.001619973712799414+0j),(60.978681081165774-27.212672805774776j),(0.3281981945037842+0j),(6.837813270976767e-05+0j),(4.339589303708421e-06+0j),(0.0634645775152693+0j),(35+0j),(2.0367597550835403e-06+0j)
12,(0.04052051523912342+0j),(0.290405850088459+0j),(0.0016609109303700547+0j),(103.98095513614871+53.380811981221136j),(0.11889061331748962+0j),(3.805608139373362e-05+0j),(5.694707076601387e-07+0j),(0.014963987010862045+0j),(40+0j),(2.0367617958998668e-06+0j)
13,(0.04337217339595485+0j),(0.2905377324523831+0j),(0.001699827841568987+0j),(119.13052428789466+202.0087477919273j),(0.015854930505156517+0j),(1.083013012248557e-05+0j),(1.0127562697867486e-08+0j),(0.0009351284410554394+0j),(45+0j),(2.0367638367161933e-06+0j)
14,(0.04618102845402938+0j),(0.29067259993645095+0j),(0.0017366772614348068+0j),(3.6769495966091683-21.90167358375128j),(0.7168760895729065+0j),(3.72761714970693e-05+0j),(1.7371792654817566e-05+0j),(0.4660294219373725+0j),(-20+0j),(2.0367658775325198e-06+0j)
15,(0.0489443084125218+0j),(0.29081028786665325+0j),(0.0017714150093383109+0j),(3.7451215272987586-21.581853278992742j),(0.7376246452331543+0j),(3.902771641151048e-05+0j),(1.839192909588635e-05+0j),(0.4712530167525252+0j),(-15+0j),(2.0367679183488463e-06+0j)
16,(0.051659286247727844+0j),(0.29095062820793827+0j),(0.0018039999574070928+0j),(3.8359466116448475-21.277868921694875j),(0.7576423287391663+0j),(4.102944512851536e-05+0j),(1.940371588851277e-05+0j),(0.472921723112147+0j),(-10+0j),(2.036769959165173e-06+0j)
17,(0.054323282604307334+0j),(0.2910934498064243+0j),(0.0018343940720285798+0j),(3.9653408393273364-20.984685958296645j),(0.7767434120178223+0j),(4.347185677033849e-05+0j),(2.0394431481368594e-05+0j),(0.4691410258621395+0j),(-5+0j),(2.0367719999814993e-06+0j)
18,(0.056933668439185375+0j),(0.291238578634608+0j),(0.0018625624483735348+0j),(4.158392917071474-20.694217062279126j),(0.7946758270263672+0j),(4.666654785978608e-05+0j),(2.134698041144567e-05+0j),(0.4574364591009524+0j),0j,(2.036774040797826e-06+0j)
19,(0.059487867617303083+0j),(0.2913858380390151+0j),(0.0018884733379044567+0j),(4.453934807166621-20.393432876185837j),(0.8110988736152649+0j),(5.1108876505168155e-05+0j),(2.2238425881781358e-05+0j),(0.4351186604450716+0j),(5+0j),(2.0367760816141523e-06+0j)
